"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
437, 2.374159941270083e-02, 2.022644749138253e-02, 1.205446984821236e+00, 1.120714024766730e+01, 2.509958948574205e+00, 2.539755254736008e+05, 1.015683262097854e+05, 2.935219107381197e+02, 2.773990616831546e-02, 5.228826133625863e-01
438, 3.057819522576303e-02, 2.187850588994112e-02, 1.205975778238766e+00, 1.394353334628756e+01, 2.781348281039028e+00, 2.541201311607907e+05, 1.016145264144424e+05, 2.935266631912150e+02, 3.432687582442355e-02, 6.221620283102604e-01
439, 3.847830032145434e-02, 2.330013207417490e-02, 1.205541702452622e+00, 1.623921140809622e+01, 2.162058765892973e+00, 2.539971800879435e+05, 1.015543465766689e+05, 2.934584526418167e+02, 3.957089986088428e-02, 4.928418417406089e-01
440, 4.758318846652228e-02, 2.447773338391587e-02, 1.205808057243569e+00, 1.805210186413428e+01, 1.852903528049655e+00, 2.540820123821506e+05, 1.015781840484436e+05, 2.934624968563023e+02, 4.382280835066477e-02, 5.440660791481123e-01
441, 5.806305321612250e-02, 2.538721056789131e-02, 1.205774469874654e+00, 1.960071949773665e+01, 1.264567998505768e+00, 2.540768393156941e+05, 1.015667457602118e+05, 2.934376248940835e+02, 4.743524580629906e-02, 5.194863922811001e-01
442, 7.012060135412718e-02, 2.599400869973473e-02, 1.205715598502282e+00, 2.084476344907746e+01, 6.573353829804333e-01, 2.540705176323802e+05, 1.015560613075385e+05, 2.934210824685591e+02, 5.037017065326004e-02, 4.965266193035588e-01
443, 8.399651706234422e-02, 2.625278493170702e-02, 1.205654952411855e+00, 2.179648246085205e+01, 5.656523021608203e-02, 2.540536725713557e+05, 1.015426587775096e+05, 2.933971167112914e+02, 5.264875119826547e-02, 4.677259819479059e-01
444, 1.166775059602186e-01, 2.556272356750265e-02, 1.205574382554379e+00, 2.304526640842679e+01, -9.809272665581545e-01, 2.540433047996014e+05, 1.015290575157794e+05, 2.933774226824957e+02, 5.572096173089108e-02, 4.384982909203352e-01
445, 1.333650020821485e-01, 2.470593363616485e-02, 1.205558966204082e+00, 2.338784896451683e+01, -1.388437144895161e+00, 2.540390408833304e+05, 1.015245516684382e+05, 2.933681540896092e+02, 5.659921903289042e-02, 4.288156955464807e-01
446, 1.500379631670597e-01, 2.360044073866988e-02, 1.205559647165466e+00, 2.361218917794537e+01, -1.717064044476666e+00, 2.540362661187193e+05, 1.015215232777166e+05, 2.933592374636660e+02, 5.719316033564157e-02, 4.223080001520115e-01
447, 1.666964519456617e-01, 2.229448425807664e-02, 1.205572525614630e+00, 2.374786779921232e+01, -1.987172632482003e+00, 2.540412823917471e+05, 1.015222987857528e+05, 2.933583445771968e+02, 5.757028484367849e-02, 4.239744859326244e-01
448, 1.833413831809916e-01, 2.082588514402793e-02, 1.205586520410873e+00, 2.381032199200933e+01, -2.200968339271448e+00, 2.540451462280721e+05, 1.015232041302496e+05, 2.933575552375942e+02, 5.776529262133547e-02, 4.259199767076756e-01
449, 1.999742255026405e-01, 1.922526196852315e-02, 1.205598082113849e+00, 2.382277212125084e+01, -2.371683560606446e+00, 2.540467394915260e+05, 1.015236144651193e+05, 2.933559276109375e+02, 5.783424575979802e-02, 4.268017434897831e-01
450, 2.165964437763170e-01, 1.751809432046701e-02, 1.205610955656874e+00, 2.379737165756171e+01, -2.508216783429130e+00, 2.540480098777034e+05, 1.015242137643127e+05, 2.933545268260835e+02, 5.780634861643382e-02, 4.280895748693822e-01
